INT	INT	INT	STRING
653	30110653	865	暗器冰攻雕纹3级
654	30110654	2615	暗器冰攻雕纹4级
655	30110655	5660	暗器冰攻雕纹5级
656	30110656	11435	暗器冰攻雕纹6级
657	30110657	21375	暗器冰攻雕纹7级
658	30110658	49760	暗器冰攻雕纹8级
659	30110659	122840	暗器冰攻雕纹9级
660	30110660	247790	暗器冰攻雕纹10级
661	30110661	480	暗器火攻雕纹1级
662	30110662	550	暗器火攻雕纹2级
663	30110663	865	暗器火攻雕纹3级
664	30110664	2615	暗器火攻雕纹4级
665	30110665	5660	暗器火攻雕纹5级
666	30110666	11435	暗器火攻雕纹6级
667	30110667	21375	暗器火攻雕纹7级
668	30110668	49760	暗器火攻雕纹8级
669	30110669	122840	暗器火攻雕纹9级
670	30110670	247790	暗器火攻雕纹10级
671	30110671	480	暗器玄攻雕纹1级
672	30110672	550	暗器玄攻雕纹2级
673	30110673	865	暗器玄攻雕纹3级
674	30110674	2615	暗器玄攻雕纹4级
675	30110675	5660	暗器玄攻雕纹5级
676	30110676	11435	暗器玄攻雕纹6级
677	30110677	21375	暗器玄攻雕纹7级
678	30110678	49760	暗器玄攻雕纹8级
679	30110679	122840	暗器玄攻雕纹9级
680	30110680	247790	暗器玄攻雕纹10级
681	30110681	480	暗器毒攻雕纹1级
682	30110682	550	暗器毒攻雕纹2级
683	30110683	865	暗器毒攻雕纹3级
684	30110684	2615	暗器毒攻雕纹4级
685	30110685	5660	暗器毒攻雕纹5级
686	30110686	11435	暗器毒攻雕纹6级
687	30110687	21375	暗器毒攻雕纹7级
688	30110688	49760	暗器毒攻雕纹8级
689	30110689	122840	暗器毒攻雕纹9级
690	30110690	247790	暗器毒攻雕纹10级
691	30110691	480	暗器冰抗雕纹1级
692	30110692	550	暗器冰抗雕纹2级
693	30110693	865	暗器冰抗雕纹3级
694	30110694	2615	暗器冰抗雕纹4级
695	30110695	5660	暗器冰抗雕纹5级
696	30110696	11435	暗器冰抗雕纹6级
697	30110697	21375	暗器冰抗雕纹7级
698	30110698	49760	暗器冰抗雕纹8级
699	30110699	122840	暗器冰抗雕纹9级
700	30110700	247790	暗器冰抗雕纹10级
701	30110701	480	暗器火抗雕纹1级
702	30110702	550	暗器火抗雕纹2级
703	30110703	865	暗器火抗雕纹3级
704	30110704	2615	暗器火抗雕纹4级
705	30110705	5660	暗器火抗雕纹5级
706	30110706	11435	暗器火抗雕纹6级
707	30110707	21375	暗器火抗雕纹7级
708	30110708	49760	暗器火抗雕纹8级
709	30110709	122840	暗器火抗雕纹9级
710	30110710	247790	暗器火抗雕纹10级
711	30110711	480	暗器玄抗雕纹1级
712	30110712	550	暗器玄抗雕纹2级
713	30110713	865	暗器玄抗雕纹3级
714	30110714	2615	暗器玄抗雕纹4级
715	30110715	5660	暗器玄抗雕纹5级
716	30110716	11435	暗器玄抗雕纹6级
717	30110717	21375	暗器玄抗雕纹7级
718	30110718	49760	暗器玄抗雕纹8级
719	30110719	122840	暗器玄抗雕纹9级
720	30110720	247790	暗器玄抗雕纹10级
721	30110721	480	暗器毒抗雕纹1级
722	30110722	550	暗器毒抗雕纹2级
723	30110723	865	暗器毒抗雕纹3级
724	30110724	2615	暗器毒抗雕纹4级
725	30110725	5660	暗器毒抗雕纹5级
726	30110726	11435	暗器毒抗雕纹6级
727	30110727	21375	暗器毒抗雕纹7级
728	30110728	49760	暗器毒抗雕纹8级
729	30110729	122840	暗器毒抗雕纹9级
730	30110730	247790	暗器毒抗雕纹10级
731	30110731	480	武魂冰抗雕纹1级
732	30110732	550	武魂冰抗雕纹2级
733	30110733	865	武魂冰抗雕纹3级
734	30110734	2615	武魂冰抗雕纹4级
735	30110735	5660	武魂冰抗雕纹5级
736	30110736	11435	武魂冰抗雕纹6级
737	30110737	21375	武魂冰抗雕纹7级
738	30110738	49760	武魂冰抗雕纹8级
739	30110739	122840	武魂冰抗雕纹9级
740	30110740	247790	武魂冰抗雕纹10级
741	30110741	480	武魂火抗雕纹1级
742	30110742	550	武魂火抗雕纹2级
743	30110743	865	武魂火抗雕纹3级
744	30110744	2615	武魂火抗雕纹4级
745	30110745	5660	武魂火抗雕纹5级
746	30110746	11435	武魂火抗雕纹6级
747	30110747	21375	武魂火抗雕纹7级
748	30110748	49760	武魂火抗雕纹8级
749	30110749	122840	武魂火抗雕纹9级
750	30110750	247790	武魂火抗雕纹10级
751	30110751	480	武魂玄抗雕纹1级
752	30110752	550	武魂玄抗雕纹2级
753	30110753	865	武魂玄抗雕纹3级
754	30110754	2615	武魂玄抗雕纹4级
755	30110755	5660	武魂玄抗雕纹5级
756	30110756	11435	武魂玄抗雕纹6级
757	30110757	21375	武魂玄抗雕纹7级
758	30110758	49760	武魂玄抗雕纹8级
759	30110759	122840	武魂玄抗雕纹9级
760	30110760	247790	武魂玄抗雕纹10级
761	30110761	480	武魂毒抗雕纹1级
762	30110762	550	武魂毒抗雕纹2级
763	30110763	865	武魂毒抗雕纹3级
764	30110764	2615	武魂毒抗雕纹4级
765	30110765	5660	武魂毒抗雕纹5级
766	30110766	11435	武魂毒抗雕纹6级
767	30110767	21375	武魂毒抗雕纹7级
768	30110768	49760	武魂毒抗雕纹8级
769	30110769	122840	武魂毒抗雕纹9级
770	30110770	247790	武魂毒抗雕纹10级
771	30110771	480	龙纹冰抗雕纹1级
772	30110772	550	龙纹冰抗雕纹2级
773	30110773	865	龙纹冰抗雕纹3级
774	30110774	2615	龙纹冰抗雕纹4级
775	30110775	5660	龙纹冰抗雕纹5级
776	30110776	11435	龙纹冰抗雕纹6级
777	30110777	21375	龙纹冰抗雕纹7级
778	30110778	49760	龙纹冰抗雕纹8级
779	30110779	122840	龙纹冰抗雕纹9级
780	30110780	247790	龙纹冰抗雕纹10级
781	30110781	480	龙纹火抗雕纹1级
782	30110782	550	龙纹火抗雕纹2级
783	30110783	865	龙纹火抗雕纹3级
784	30110784	2615	龙纹火抗雕纹4级
785	30110785	5660	龙纹火抗雕纹5级
786	30110786	11435	龙纹火抗雕纹6级
787	30110787	21375	龙纹火抗雕纹7级
788	30110788	49760	龙纹火抗雕纹8级
789	30110789	122840	龙纹火抗雕纹9级
790	30110790	247790	龙纹火抗雕纹10级
791	30110791	480	龙纹玄抗雕纹1级
792	30110792	550	龙纹玄抗雕纹2级
793	30110793	865	龙纹玄抗雕纹3级
794	30110794	2615	龙纹玄抗雕纹4级
795	30110795	5660	龙纹玄抗雕纹5级
796	30110796	11435	龙纹玄抗雕纹6级
797	30110797	21375	龙纹玄抗雕纹7级
798	30110798	49760	龙纹玄抗雕纹8级
799	30110799	122840	龙纹玄抗雕纹9级
800	30110800	247790	龙纹玄抗雕纹10级
801	30110801	480	龙纹毒抗雕纹1级
802	30110802	550	龙纹毒抗雕纹2级
803	30110803	865	龙纹毒抗雕纹3级
804	30110804	2615	龙纹毒抗雕纹4级
805	30110805	5660	龙纹毒抗雕纹5级
806	30110806	11435	龙纹毒抗雕纹6级
807	30110807	21375	龙纹毒抗雕纹7级
808	30110808	49760	龙纹毒抗雕纹8级
809	30110809	122840	龙纹毒抗雕纹9级
810	30110810	247790	龙纹毒抗雕纹10级
811	30110811	880	暗器减冰抗雕纹1级
812	30110812	1090	暗器减冰抗雕纹2级
813	30110813	2035	暗器减冰抗雕纹3级
814	30110814	7285	暗器减冰抗雕纹4级
815	30110815	16420	暗器减冰抗雕纹5级
816	30110816	33745	暗器减冰抗雕纹6级
817	30110817	63565	暗器减冰抗雕纹7级
818	30110818	148720	暗器减冰抗雕纹8级
819	30110819	367960	暗器减冰抗雕纹9级
820	30110820	654610	暗器减冰抗雕纹10级
821	30110821	880	暗器减火抗雕纹1级
822	30110822	1090	暗器减火抗雕纹2级
823	30110823	2035	暗器减火抗雕纹3级
824	30110824	7285	暗器减火抗雕纹4级
825	30110825	16420	暗器减火抗雕纹5级
826	30110826	33745	暗器减火抗雕纹6级
827	30110827	63565	暗器减火抗雕纹7级
828	30110828	148720	暗器减火抗雕纹8级
829	30110829	367960	暗器减火抗雕纹9级
830	30110830	654610	暗器减火抗雕纹10级
831	30110831	880	暗器减玄抗雕纹1级
832	30110832	1090	暗器减玄抗雕纹2级
833	30110833	2035	暗器减玄抗雕纹3级
834	30110834	7285	暗器减玄抗雕纹4级
835	30110835	16420	暗器减玄抗雕纹5级
836	30110836	33745	暗器减玄抗雕纹6级
837	30110837	63565	暗器减玄抗雕纹7级
838	30110838	148720	暗器减玄抗雕纹8级
839	30110839	367960	暗器减玄抗雕纹9级
840	30110840	654610	暗器减玄抗雕纹10级
841	30110841	880	暗器减毒抗雕纹1级
842	30110842	1090	暗器减毒抗雕纹2级
843	30110843	2035	暗器减毒抗雕纹3级
844	30110844	7285	暗器减毒抗雕纹4级
845	30110845	16420	暗器减毒抗雕纹5级
846	30110846	33745	暗器减毒抗雕纹6级
847	30110847	63565	暗器减毒抗雕纹7级
848	30110848	148720	暗器减毒抗雕纹8级
849	30110849	367960	暗器减毒抗雕纹9级
850	30110850	654610	暗器减毒抗雕纹10级
851	30110851	880	武魂减冰抗雕纹1级
852	30110852	1090	武魂减冰抗雕纹2级
853	30110853	2035	武魂减冰抗雕纹3级
854	30110854	7285	武魂减冰抗雕纹4级
855	30110855	16420	武魂减冰抗雕纹5级
856	30110856	33745	武魂减冰抗雕纹6级
857	30110857	63565	武魂减冰抗雕纹7级
858	30110858	148720	武魂减冰抗雕纹8级
859	30110859	367960	武魂减冰抗雕纹9级
860	30110860	654610	武魂减冰抗雕纹10级
861	30110861	880	武魂减火抗雕纹1级
862	30110862	1090	武魂减火抗雕纹2级
863	30110863	2035	武魂减火抗雕纹3级
864	30110864	7285	武魂减火抗雕纹4级
865	30110865	16420	武魂减火抗雕纹5级
866	30110866	33745	武魂减火抗雕纹6级
867	30110867	63565	武魂减火抗雕纹7级
868	30110868	148720	武魂减火抗雕纹8级
869	30110869	367960	武魂减火抗雕纹9级
870	30110870	654610	武魂减火抗雕纹10级
871	30110871	880	武魂减玄抗雕纹1级
872	30110872	1090	武魂减玄抗雕纹2级
873	30110873	2035	武魂减玄抗雕纹3级
874	30110874	7285	武魂减玄抗雕纹4级
875	30110875	16420	武魂减玄抗雕纹5级
876	30110876	33745	武魂减玄抗雕纹6级
877	30110877	63565	武魂减玄抗雕纹7级
878	30110878	148720	武魂减玄抗雕纹8级
879	30110879	367960	武魂减玄抗雕纹9级
880	30110880	654610	武魂减玄抗雕纹10级
881	30110881	880	武魂减毒抗雕纹1级
882	30110882	1090	武魂减毒抗雕纹2级
883	30110883	2035	武魂减毒抗雕纹3级
884	30110884	7285	武魂减毒抗雕纹4级
885	30110885	16420	武魂减毒抗雕纹5级
886	30110886	33745	武魂减毒抗雕纹6级
887	30110887	63565	武魂减毒抗雕纹7级
888	30110888	148720	武魂减毒抗雕纹8级
889	30110889	367960	武魂减毒抗雕纹9级
890	30110890	654610	武魂减毒抗雕纹10级
891	30110891	880	龙纹减冰抗雕纹1级
892	30110892	1090	龙纹减冰抗雕纹2级
893	30110893	2035	龙纹减冰抗雕纹3级
894	30110894	7285	龙纹减冰抗雕纹4级
895	30110895	16420	龙纹减冰抗雕纹5级
896	30110896	33745	龙纹减冰抗雕纹6级
897	30110897	63565	龙纹减冰抗雕纹7级
898	30110898	148720	龙纹减冰抗雕纹8级
899	30110899	367960	龙纹减冰抗雕纹9级
900	30110900	654610	龙纹减冰抗雕纹10级
901	30110901	880	龙纹减火抗雕纹1级
902	30110902	1090	龙纹减火抗雕纹2级
903	30110903	2035	龙纹减火抗雕纹3级
904	30110904	7285	龙纹减火抗雕纹4级
905	30110905	16420	龙纹减火抗雕纹5级
906	30110906	33745	龙纹减火抗雕纹6级
907	30110907	63565	龙纹减火抗雕纹7级
908	30110908	148720	龙纹减火抗雕纹8级
909	30110909	367960	龙纹减火抗雕纹9级
910	30110910	654610	龙纹减火抗雕纹10级
911	30110911	880	龙纹减玄抗雕纹1级
912	30110912	1090	龙纹减玄抗雕纹2级
913	30110913	2035	龙纹减玄抗雕纹3级
914	30110914	7285	龙纹减玄抗雕纹4级
915	30110915	16420	龙纹减玄抗雕纹5级
916	30110916	33745	龙纹减玄抗雕纹6级
917	30110917	63565	龙纹减玄抗雕纹7级
918	30110918	148720	龙纹减玄抗雕纹8级
919	30110919	367960	龙纹减玄抗雕纹9级
920	30110920	654610	龙纹减玄抗雕纹10级
921	30110921	880	龙纹减毒抗雕纹1级
922	30110922	1090	龙纹减毒抗雕纹2级
923	30110923	2035	龙纹减毒抗雕纹3级
924	30110924	7285	龙纹减毒抗雕纹4级
925	30110925	16420	龙纹减毒抗雕纹5级
926	30110926	33745	龙纹减毒抗雕纹6级
927	30110927	63565	龙纹减毒抗雕纹7级
928	30110928	148720	龙纹减毒抗雕纹8级
929	30110929	367960	龙纹减毒抗雕纹9级
930	30110930	654610	龙纹减毒抗雕纹10级
931	30110931	480	饰品体力雕纹1级
932	30110932	550	饰品体力雕纹2级
933	30110933	865	饰品体力雕纹3级
934	30110934	2615	饰品体力雕纹4级
935	30110935	5660	饰品体力雕纹5级
936	30110936	11435	饰品体力雕纹6级
937	30110937	21375	饰品体力雕纹7级
938	30110938	49760	饰品体力雕纹8级
939	30110939	122840	饰品体力雕纹9级
940	30110940	247790	饰品体力雕纹10级
941	30110941	480	令牌力量雕纹1级
942	30110942	550	令牌力量雕纹2级
943	30110943	865	令牌力量雕纹3级
944	30110944	2615	令牌力量雕纹4级
945	30110945	5660	令牌力量雕纹5级
946	30110946	11435	令牌力量雕纹6级
947	30110947	21375	令牌力量雕纹7级
948	30110948	49760	令牌力量雕纹8级
949	30110949	122840	令牌力量雕纹9级
950	30110950	247790	令牌力量雕纹10级
951	30110951	480	令牌灵气雕纹1级
952	30110952	550	令牌灵气雕纹2级
953	30110953	865	令牌灵气雕纹3级
954	30110954	2615	令牌灵气雕纹4级
955	30110955	5660	令牌灵气雕纹5级
956	30110956	11435	令牌灵气雕纹6级
957	30110957	21375	令牌灵气雕纹7级
958	30110958	49760	令牌灵气雕纹8级
959	30110959	122840	令牌灵气雕纹9级
960	30110960	247790	令牌灵气雕纹10级
961	30110961	480	令牌体力雕纹1级
962	30110962	550	令牌体力雕纹2级
963	30110963	865	令牌体力雕纹3级
964	30110964	2615	令牌体力雕纹4级
965	30110965	5660	令牌体力雕纹5级
966	30110966	11435	令牌体力雕纹6级
967	30110967	21375	令牌体力雕纹7级
968	30110968	49760	令牌体力雕纹8级
969	30110969	122840	令牌体力雕纹9级
970	30110970	247790	令牌体力雕纹10级
971	30110971	480	令牌定力雕纹1级
972	30110972	550	令牌定力雕纹2级
973	30110973	865	令牌定力雕纹3级
974	30110974	2615	令牌定力雕纹4级
975	30110975	5660	令牌定力雕纹5级
976	30110976	11435	令牌定力雕纹6级
977	30110977	21375	令牌定力雕纹7级
978	30110978	49760	令牌定力雕纹8级
979	30110979	122840	令牌定力雕纹9级
980	30110980	247790	令牌定力雕纹10级
981	30110981	480	令牌身法雕纹1级
982	30110982	550	令牌身法雕纹2级
983	30110983	865	令牌身法雕纹3级
984	30110984	2615	令牌身法雕纹4级
985	30110985	5660	令牌身法雕纹5级
986	30110986	11435	令牌身法雕纹6级
987	30110987	21375	令牌身法雕纹7级
988	30110988	49760	令牌身法雕纹8级
989	30110989	122840	令牌身法雕纹9级
990	30110990	247790	令牌身法雕纹10级
991	30110991	480	令牌冰攻雕纹1级
992	30110992	550	令牌冰攻雕纹2级
993	30110993	865	令牌冰攻雕纹3级
994	30110994	2615	令牌冰攻雕纹4级
995	30110995	5660	令牌冰攻雕纹5级
996	30110996	11435	令牌冰攻雕纹6级
997	30110997	21375	令牌冰攻雕纹7级
998	30110998	49760	令牌冰攻雕纹8级
999	30110999	122840	令牌冰攻雕纹9级
1000	30111000	247790	令牌冰攻雕纹10级
1001	30111001	480	令牌火攻雕纹1级
1002	30111002	550	令牌火攻雕纹2级
1003	30111003	865	令牌火攻雕纹3级
1004	30111004	2615	令牌火攻雕纹4级
1005	30111005	5660	令牌火攻雕纹5级
1006	30111006	11435	令牌火攻雕纹6级
1007	30111007	21375	令牌火攻雕纹7级
1008	30111008	49760	令牌火攻雕纹8级
1009	30111009	122840	令牌火攻雕纹9级
1010	30111010	247790	令牌火攻雕纹10级
1011	30111011	480	令牌玄攻雕纹1级
1012	30111012	550	令牌玄攻雕纹2级
1013	30111013	865	令牌玄攻雕纹3级
1014	30111014	2615	令牌玄攻雕纹4级
1015	30111015	5660	令牌玄攻雕纹5级
1016	30111016	11435	令牌玄攻雕纹6级
1017	30111017	21375	令牌玄攻雕纹7级
1018	30111018	49760	令牌玄攻雕纹8级
1019	30111019	122840	令牌玄攻雕纹9级
1020	30111020	247790	令牌玄攻雕纹10级
1021	30111021	480	令牌毒攻雕纹1级
1022	30111022	550	令牌毒攻雕纹2级
1023	30111023	865	令牌毒攻雕纹3级
1024	30111024	2615	令牌毒攻雕纹4级
1025	30111025	5660	令牌毒攻雕纹5级
1026	30111026	11435	令牌毒攻雕纹6级
1027	30111027	21375	令牌毒攻雕纹7级
1028	30111028	49760	令牌毒攻雕纹8级
1029	30111029	122840	令牌毒攻雕纹9级
1030	30111030	247790	令牌毒攻雕纹10级
1031	30111031	480	令牌冰抗雕纹1级
1032	30111032	550	令牌冰抗雕纹2级
1033	30111033	865	令牌冰抗雕纹3级
1034	30111034	2615	令牌冰抗雕纹4级
1035	30111035	5660	令牌冰抗雕纹5级
1036	30111036	11435	令牌冰抗雕纹6级
1037	30111037	21375	令牌冰抗雕纹7级
1038	30111038	49760	令牌冰抗雕纹8级
1039	30111039	122840	令牌冰抗雕纹9级
1040	30111040	247790	令牌冰抗雕纹10级
1041	30111041	480	令牌火抗雕纹1级
1042	30111042	550	令牌火抗雕纹2级
1043	30111043	865	令牌火抗雕纹3级
1044	30111044	2615	令牌火抗雕纹4级
1045	30111045	5660	令牌火抗雕纹5级
1046	30111046	11435	令牌火抗雕纹6级
1047	30111047	21375	令牌火抗雕纹7级
1048	30111048	49760	令牌火抗雕纹8级
1049	30111049	122840	令牌火抗雕纹9级
1050	30111050	247790	令牌火抗雕纹10级
1051	30111051	480	令牌玄抗雕纹1级
1052	30111052	550	令牌玄抗雕纹2级
1053	30111053	865	令牌玄抗雕纹3级
1054	30111054	2615	令牌玄抗雕纹4级
1055	30111055	5660	令牌玄抗雕纹5级
1056	30111056	11435	令牌玄抗雕纹6级
1057	30111057	21375	令牌玄抗雕纹7级
1058	30111058	49760	令牌玄抗雕纹8级
1059	30111059	122840	令牌玄抗雕纹9级
1060	30111060	247790	令牌玄抗雕纹10级
1061	30111061	480	令牌毒抗雕纹1级
1062	30111062	550	令牌毒抗雕纹2级
1063	30111063	865	令牌毒抗雕纹3级
1064	30111064	2615	令牌毒抗雕纹4级
1065	30111065	5660	令牌毒抗雕纹5级
1066	30111066	11435	令牌毒抗雕纹6级
1067	30111067	21375	令牌毒抗雕纹7级
1068	30111068	49760	令牌毒抗雕纹8级
1069	30111069	122840	令牌毒抗雕纹9级
1070	30111070	247790	令牌毒抗雕纹10级
1071	30111071	880	令牌减冰抗雕纹1级
1072	30111072	1090	令牌减冰抗雕纹2级
1073	30111073	2035	令牌减冰抗雕纹3级
1074	30111074	7285	令牌减冰抗雕纹4级
1075	30111075	16420	令牌减冰抗雕纹5级
1076	30111076	33745	令牌减冰抗雕纹6级
1077	30111077	63565	令牌减冰抗雕纹7级
1078	30111078	148720	令牌减冰抗雕纹8级
1079	30111079	367960	令牌减冰抗雕纹9级
1080	30111080	654610	令牌减冰抗雕纹10级
1081	30111081	880	令牌减火抗雕纹1级
1082	30111082	1090	令牌减火抗雕纹2级
1083	30111083	2035	令牌减火抗雕纹3级
1084	30111084	7285	令牌减火抗雕纹4级
1085	30111085	16420	令牌减火抗雕纹5级
1086	30111086	33745	令牌减火抗雕纹6级
1087	30111087	63565	令牌减火抗雕纹7级
1088	30111088	148720	令牌减火抗雕纹8级
1089	30111089	367960	令牌减火抗雕纹9级
1090	30111090	654610	令牌减火抗雕纹10级
1091	30111091	880	令牌减玄抗雕纹1级
1092	30111092	1090	令牌减玄抗雕纹2级
1093	30111093	2035	令牌减玄抗雕纹3级
1094	30111094	7285	令牌减玄抗雕纹4级
1095	30111095	16420	令牌减玄抗雕纹5级
1096	30111096	33745	令牌减玄抗雕纹6级
1097	30111097	63565	令牌减玄抗雕纹7级
1098	30111098	148720	令牌减玄抗雕纹8级
1099	30111099	367960	令牌减玄抗雕纹9级
1100	30111100	654610	令牌减玄抗雕纹10级
1101	30111101	880	令牌减毒抗雕纹1级
1102	30111102	1090	令牌减毒抗雕纹2级
1103	30111103	2035	令牌减毒抗雕纹3级
1104	30111104	7285	令牌减毒抗雕纹4级
1105	30111105	16420	令牌减毒抗雕纹5级
1106	30111106	33745	令牌减毒抗雕纹6级
1107	30111107	63565	令牌减毒抗雕纹7级
1108	30111108	148720	令牌减毒抗雕纹8级
1109	30111109	367960	令牌减毒抗雕纹9级
1110	30111110	654610	令牌减毒抗雕纹10级
1111	30111111	480	衣服冰抗雕纹1级
1112	30111112	550	衣服冰抗雕纹2级
1113	30111113	865	衣服冰抗雕纹3级
1114	30111114	2615	衣服冰抗雕纹4级
1115	30111115	5660	衣服冰抗雕纹5级
1116	30111116	11435	衣服冰抗雕纹6级
1117	30111117	21375	衣服冰抗雕纹7级
1118	30111118	49760	衣服冰抗雕纹8级
1119	30111119	122840	衣服冰抗雕纹9级
1120	30111120	247790	衣服冰抗雕纹10级
1121	30111121	480	衣服火抗雕纹1级
1122	30111122	550	衣服火抗雕纹2级
1123	30111123	865	衣服火抗雕纹3级
1124	30111124	2615	衣服火抗雕纹4级
1125	30111125	5660	衣服火抗雕纹5级
1126	30111126	11435	衣服火抗雕纹6级
1127	30111127	21375	衣服火抗雕纹7级
1128	30111128	49760	衣服火抗雕纹8级
1129	30111129	122840	衣服火抗雕纹9级
1130	30111130	247790	衣服火抗雕纹10级
1131	30111131	480	衣服玄抗雕纹1级
1132	30111132	550	衣服玄抗雕纹2级
1133	30111133	865	衣服玄抗雕纹3级
1134	30111134	2615	衣服玄抗雕纹4级
1135	30111135	5660	衣服玄抗雕纹5级
1136	30111136	11435	衣服玄抗雕纹6级
1137	30111137	21375	衣服玄抗雕纹7级
1138	30111138	49760	衣服玄抗雕纹8级
1139	30111139	122840	衣服玄抗雕纹9级
1140	30111140	247790	衣服玄抗雕纹10级
1141	30111141	480	衣服毒抗雕纹1级
1142	30111142	550	衣服毒抗雕纹2级
1143	30111143	865	衣服毒抗雕纹3级
1144	30111144	2615	衣服毒抗雕纹4级
1145	30111145	5660	衣服毒抗雕纹5级
1146	30111146	11435	衣服毒抗雕纹6级
1147	30111147	21375	衣服毒抗雕纹7级
1148	30111148	49760	衣服毒抗雕纹8级
1149	30111149	122840	衣服毒抗雕纹9级
1150	30111150	247790	衣服毒抗雕纹10级
1151	30111151	480	手套冰抗雕纹1级
1152	30111152	550	手套冰抗雕纹2级
1153	30111153	865	手套冰抗雕纹3级
1154	30111154	2615	手套冰抗雕纹4级
1155	30111155	5660	手套冰抗雕纹5级
1156	30111156	11435	手套冰抗雕纹6级
1157	30111157	21375	手套冰抗雕纹7级
1158	30111158	49760	手套冰抗雕纹8级
1159	30111159	122840	手套冰抗雕纹9级
1160	30111160	247790	手套冰抗雕纹10级
1161	30111161	480	手套火抗雕纹1级
1162	30111162	550	手套火抗雕纹2级
1163	30111163	865	手套火抗雕纹3级
1164	30111164	2615	手套火抗雕纹4级
1165	30111165	5660	手套火抗雕纹5级
1166	30111166	11435	手套火抗雕纹6级
1167	30111167	21375	手套火抗雕纹7级
1168	30111168	49760	手套火抗雕纹8级
1169	30111169	122840	手套火抗雕纹9级
1170	30111170	247790	手套火抗雕纹10级
1171	30111171	480	手套玄抗雕纹1级
1172	30111172	550	手套玄抗雕纹2级
1173	30111173	865	手套玄抗雕纹3级
1174	30111174	2615	手套玄抗雕纹4级
1175	30111175	5660	手套玄抗雕纹5级
1176	30111176	11435	手套玄抗雕纹6级
1177	30111177	21375	手套玄抗雕纹7级
1178	30111178	49760	手套玄抗雕纹8级
1179	30111179	122840	手套玄抗雕纹9级
1180	30111180	247790	手套玄抗雕纹10级
1181	30111181	480	手套毒抗雕纹1级
1182	30111182	550	手套毒抗雕纹2级
1183	30111183	865	手套毒抗雕纹3级
1184	30111184	2615	手套毒抗雕纹4级
1185	30111185	5660	手套毒抗雕纹5级
1186	30111186	11435	手套毒抗雕纹6级
1187	30111187	21375	手套毒抗雕纹7级
1188	30111188	49760	手套毒抗雕纹8级
1189	30111189	122840	手套毒抗雕纹9级
1190	30111190	247790	手套毒抗雕纹10级
1191	30111191	480	护肩冰抗雕纹1级
1192	30111192	550	护肩冰抗雕纹2级
1193	30111193	865	护肩冰抗雕纹3级
1194	30111194	2615	护肩冰抗雕纹4级
1195	30111195	5660	护肩冰抗雕纹5级
1196	30111196	11435	护肩冰抗雕纹6级
1197	30111197	21375	护肩冰抗雕纹7级
1198	30111198	49760	护肩冰抗雕纹8级
1199	30111199	122840	护肩冰抗雕纹9级
1200	30111200	247790	护肩冰抗雕纹10级
1201	30111201	480	护肩火抗雕纹1级
1202	30111202	550	护肩火抗雕纹2级
1203	30111203	865	护肩火抗雕纹3级
1204	30111204	2615	护肩火抗雕纹4级
1205	30111205	5660	护肩火抗雕纹5级
1206	30111206	11435	护肩火抗雕纹6级
1207	30111207	21375	护肩火抗雕纹7级
1208	30111208	49760	护肩火抗雕纹8级
1209	30111209	122840	护肩火抗雕纹9级
1210	30111210	247790	护肩火抗雕纹10级
1211	30111211	480	护肩玄抗雕纹1级
1212	30111212	550	护肩玄抗雕纹2级
1213	30111213	865	护肩玄抗雕纹3级
1214	30111214	2615	护肩玄抗雕纹4级
1215	30111215	5660	护肩玄抗雕纹5级
1216	30111216	11435	护肩玄抗雕纹6级
1217	30111217	21375	护肩玄抗雕纹7级
1218	30111218	49760	护肩玄抗雕纹8级
1219	30111219	122840	护肩玄抗雕纹9级
1220	30111220	247790	护肩玄抗雕纹10级
1221	30111221	480	护肩毒抗雕纹1级
1222	30111222	550	护肩毒抗雕纹2级
1223	30111223	865	护肩毒抗雕纹3级
1224	30111224	2615	护肩毒抗雕纹4级
1225	30111225	5660	护肩毒抗雕纹5级
1226	30111226	11435	护肩毒抗雕纹6级
1227	30111227	21375	护肩毒抗雕纹7级
1228	30111228	49760	护肩毒抗雕纹8级
1229	30111229	122840	护肩毒抗雕纹9级
1230	30111230	247790	护肩毒抗雕纹10级
1231	30111231	480	鞋子冰抗雕纹1级
1232	30111232	550	鞋子冰抗雕纹2级
1233	30111233	865	鞋子冰抗雕纹3级
1234	30111234	2615	鞋子冰抗雕纹4级
1235	30111235	5660	鞋子冰抗雕纹5级
1236	30111236	11435	鞋子冰抗雕纹6级
1237	30111237	21375	鞋子冰抗雕纹7级
1238	30111238	49760	鞋子冰抗雕纹8级
1239	30111239	122840	鞋子冰抗雕纹9级
1240	30111240	247790	鞋子冰抗雕纹10级
1241	30111241	480	鞋子火抗雕纹1级
1242	30111242	550	鞋子火抗雕纹2级
1243	30111243	865	鞋子火抗雕纹3级
1244	30111244	2615	鞋子火抗雕纹4级
1245	30111245	5660	鞋子火抗雕纹5级
1246	30111246	11435	鞋子火抗雕纹6级
1247	30111247	21375	鞋子火抗雕纹7级
1248	30111248	49760	鞋子火抗雕纹8级
1249	30111249	122840	鞋子火抗雕纹9级
1250	30111250	247790	鞋子火抗雕纹10级
1251	30111251	480	鞋子玄抗雕纹1级
1252	30111252	550	鞋子玄抗雕纹2级
1253	30111253	865	鞋子玄抗雕纹3级
1254	30111254	2615	鞋子玄抗雕纹4级
1255	30111255	5660	鞋子玄抗雕纹5级
1256	30111256	11435	鞋子玄抗雕纹6级
