INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING
38201006	2	1	6	25	2155	2750	ZhenYuan1_2	真元·勇力	装备原有#G力量#W效果提升#G25%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有力量属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38201007	2	1	7	29	3170	4905	ZhenYuan1_2	真元·勇力	装备原有#G力量#W效果提升#G29%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有力量属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38201008	2	1	8	33	4435	8075	ZhenYuan1_2	真元·勇力	装备原有#G力量#W效果提升#G33%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有力量属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38201009	2	1	9	37	0	12510	ZhenYuan1_2	真元·勇力	装备原有#G力量#W效果提升#G37%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有力量属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38202001	2	2	1	5	30	20	ZhenYuan1_7	真元·灵慧	装备原有#G灵气#W效果提升#G5%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有灵气属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38202002	2	2	2	9	150	50	ZhenYuan1_7	真元·灵慧	装备原有#G灵气#W效果提升#G9%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有灵气属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38202003	2	2	3	13	390	200	ZhenYuan1_7	真元·灵慧	装备原有#G灵气#W效果提升#G13%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有灵气属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38202004	2	2	4	17	790	590	ZhenYuan1_7	真元·灵慧	装备原有#G灵气#W效果提升#G17%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有灵气属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38202005	2	2	5	21	1370	1380	ZhenYuan1_7	真元·灵慧	装备原有#G灵气#W效果提升#G21%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有灵气属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38202006	2	2	6	25	2155	2750	ZhenYuan1_7	真元·灵慧	装备原有#G灵气#W效果提升#G25%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有灵气属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38202007	2	2	7	29	3170	4905	ZhenYuan1_7	真元·灵慧	装备原有#G灵气#W效果提升#G29%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有灵气属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38202008	2	2	8	33	4435	8075	ZhenYuan1_7	真元·灵慧	装备原有#G灵气#W效果提升#G33%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有灵气属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38202009	2	2	9	37	0	12510	ZhenYuan1_7	真元·灵慧	装备原有#G灵气#W效果提升#G37%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有灵气属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38203001	2	3	1	5	30	20	ZhenYuan1_12	真元·厚体	装备原有#G体力#W效果提升#G5%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有体力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38203002	2	3	2	9	150	50	ZhenYuan1_12	真元·厚体	装备原有#G体力#W效果提升#G9%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有体力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38203003	2	3	3	13	390	200	ZhenYuan1_12	真元·厚体	装备原有#G体力#W效果提升#G13%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有体力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38203004	2	3	4	17	790	590	ZhenYuan1_12	真元·厚体	装备原有#G体力#W效果提升#G17%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有体力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38203005	2	3	5	21	1370	1380	ZhenYuan1_12	真元·厚体	装备原有#G体力#W效果提升#G21%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有体力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38203006	2	3	6	25	2155	2750	ZhenYuan1_12	真元·厚体	装备原有#G体力#W效果提升#G25%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有体力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38203007	2	3	7	29	3170	4905	ZhenYuan1_12	真元·厚体	装备原有#G体力#W效果提升#G29%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有体力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38203008	2	3	8	33	4435	8075	ZhenYuan1_12	真元·厚体	装备原有#G体力#W效果提升#G33%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有体力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38203009	2	3	9	37	0	12510	ZhenYuan1_12	真元·厚体	装备原有#G体力#W效果提升#G37%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有体力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38204001	2	4	1	5	30	20	ZhenYuan2_1	真元·气定	装备原有#G定力#W效果提升#G5%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有定力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38204002	2	4	2	9	150	50	ZhenYuan2_1	真元·气定	装备原有#G定力#W效果提升#G9%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有定力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38204003	2	4	3	13	390	200	ZhenYuan2_1	真元·气定	装备原有#G定力#W效果提升#G13%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有定力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38204004	2	4	4	17	790	590	ZhenYuan2_1	真元·气定	装备原有#G定力#W效果提升#G17%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有定力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38204005	2	4	5	21	1370	1380	ZhenYuan2_1	真元·气定	装备原有#G定力#W效果提升#G21%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有定力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38204006	2	4	6	25	2155	2750	ZhenYuan2_1	真元·气定	装备原有#G定力#W效果提升#G25%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有定力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38204007	2	4	7	29	3170	4905	ZhenYuan2_1	真元·气定	装备原有#G定力#W效果提升#G29%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有定力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38204008	2	4	8	33	4435	8075	ZhenYuan2_1	真元·气定	装备原有#G定力#W效果提升#G33%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有定力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38204009	2	4	9	37	0	12510	ZhenYuan2_1	真元·气定	装备原有#G定力#W效果提升#G37%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有定力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38205001	2	5	1	5	30	20	ZhenYuan2_6	真元·迅捷	装备原有#G身法#W效果提升#G5%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有身法属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38205002	2	5	2	9	150	50	ZhenYuan2_6	真元·迅捷	装备原有#G身法#W效果提升#G9%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有身法属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38205003	2	5	3	13	390	200	ZhenYuan2_6	真元·迅捷	装备原有#G身法#W效果提升#G13%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有身法属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38205004	2	5	4	17	790	590	ZhenYuan2_6	真元·迅捷	装备原有#G身法#W效果提升#G17%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有身法属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38205005	2	5	5	21	1370	1380	ZhenYuan2_6	真元·迅捷	装备原有#G身法#W效果提升#G21%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有身法属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38205006	2	5	6	25	2155	2750	ZhenYuan2_6	真元·迅捷	装备原有#G身法#W效果提升#G25%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有身法属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38205007	2	5	7	29	3170	4905	ZhenYuan2_6	真元·迅捷	装备原有#G身法#W效果提升#G29%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有身法属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38205008	2	5	8	33	4435	8075	ZhenYuan2_6	真元·迅捷	装备原有#G身法#W效果提升#G33%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有身法属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38205009	2	5	9	37	0	12510	ZhenYuan2_6	真元·迅捷	装备原有#G身法#W效果提升#G37%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有身法属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38206001	2	6	1	5	30	20	ZhenYuan2_11	真元·血涌丹田	装备原有#G血上限#W效果提升#G5%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有血上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38206002	2	6	2	9	150	50	ZhenYuan2_11	真元·血涌丹田	装备原有#G血上限#W效果提升#G9%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有血上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38206003	2	6	3	13	390	200	ZhenYuan2_11	真元·血涌丹田	装备原有#G血上限#W效果提升#G13%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有血上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38206004	2	6	4	17	790	590	ZhenYuan2_11	真元·血涌丹田	装备原有#G血上限#W效果提升#G17%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有血上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38206005	2	6	5	21	1370	1380	ZhenYuan2_11	真元·血涌丹田	装备原有#G血上限#W效果提升#G21%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有血上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38206006	2	6	6	25	2155	2750	ZhenYuan2_11	真元·血涌丹田	装备原有#G血上限#W效果提升#G25%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有血上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38206007	2	6	7	29	3170	4905	ZhenYuan2_11	真元·血涌丹田	装备原有#G血上限#W效果提升#G29%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有血上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38206008	2	6	8	33	4435	8075	ZhenYuan2_11	真元·血涌丹田	装备原有#G血上限#W效果提升#G33%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有血上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38206009	2	6	9	37	0	12510	ZhenYuan2_11	真元·血涌丹田	装备原有#G血上限#W效果提升#G37%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有血上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38207001	2	7	1	5	30	20	ZhenYuan2_16	真元·气贯神庭	装备原有#G气上限#W效果提升#G5%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有气上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38207002	2	7	2	9	150	50	ZhenYuan2_16	真元·气贯神庭	装备原有#G气上限#W效果提升#G9%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有气上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38207003	2	7	3	13	390	200	ZhenYuan2_16	真元·气贯神庭	装备原有#G气上限#W效果提升#G13%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有气上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38207004	2	7	4	17	790	590	ZhenYuan2_16	真元·气贯神庭	装备原有#G气上限#W效果提升#G17%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有气上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38207005	2	7	5	21	1370	1380	ZhenYuan2_16	真元·气贯神庭	装备原有#G气上限#W效果提升#G21%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有气上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38207006	2	7	6	25	2155	2750	ZhenYuan2_16	真元·气贯神庭	装备原有#G气上限#W效果提升#G25%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有气上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38207007	2	7	7	29	3170	4905	ZhenYuan2_16	真元·气贯神庭	装备原有#G气上限#W效果提升#G29%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有气上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38207008	2	7	8	33	4435	8075	ZhenYuan2_16	真元·气贯神庭	装备原有#G气上限#W效果提升#G33%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有气上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38207009	2	7	9	37	0	12510	ZhenYuan2_16	真元·气贯神庭	装备原有#G气上限#W效果提升#G37%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有气上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38208001	2	8	1	5	30	20	ZhenYuan3_5	真元·内劲绵绵	装备原有#G内功攻击#W效果提升#G5%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有内功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38208002	2	8	2	9	150	50	ZhenYuan3_5	真元·内劲绵绵	装备原有#G内功攻击#W效果提升#G9%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有内功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38208003	2	8	3	13	390	200	ZhenYuan3_5	真元·内劲绵绵	装备原有#G内功攻击#W效果提升#G13%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有内功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38208004	2	8	4	17	790	590	ZhenYuan3_5	真元·内劲绵绵	装备原有#G内功攻击#W效果提升#G17%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有内功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38208005	2	8	5	21	1370	1380	ZhenYuan3_5	真元·内劲绵绵	装备原有#G内功攻击#W效果提升#G21%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有内功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38208006	2	8	6	25	2155	2750	ZhenYuan3_5	真元·内劲绵绵	装备原有#G内功攻击#W效果提升#G25%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有内功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38208007	2	8	7	29	3170	4905	ZhenYuan3_5	真元·内劲绵绵	装备原有#G内功攻击#W效果提升#G29%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有内功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38208008	2	8	8	33	4435	8075	ZhenYuan3_5	真元·内劲绵绵	装备原有#G内功攻击#W效果提升#G33%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有内功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38208009	2	8	9	37	0	12510	ZhenYuan3_5	真元·内劲绵绵	装备原有#G内功攻击#W效果提升#G37%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有内功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38209001	2	9	1	5	30	20	ZhenYuan3_10	真元·外功罡猛	装备原有#G外功攻击#W效果提升#G5%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有外功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38209002	2	9	2	9	150	50	ZhenYuan3_10	真元·外功罡猛	装备原有#G外功攻击#W效果提升#G9%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有外功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38209003	2	9	3	13	390	200	ZhenYuan3_10	真元·外功罡猛	装备原有#G外功攻击#W效果提升#G13%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有外功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38209004	2	9	4	17	790	590	ZhenYuan3_10	真元·外功罡猛	装备原有#G外功攻击#W效果提升#G17%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有外功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38209005	2	9	5	21	1370	1380	ZhenYuan3_10	真元·外功罡猛	装备原有#G外功攻击#W效果提升#G21%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有外功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38209006	2	9	6	25	2155	2750	ZhenYuan3_10	真元·外功罡猛	装备原有#G外功攻击#W效果提升#G25%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有外功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38209007	2	9	7	29	3170	4905	ZhenYuan3_10	真元·外功罡猛	装备原有#G外功攻击#W效果提升#G29%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有外功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
